name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Akihabara Dennou-gumi: 2011-nen no Natsuyasumi,6.6,"Adventure, Comedy, Sci-Fi",1,Production I.G,1 hr,6464,10355,7,1386,3148
Hikari no Densetsu,6.6,"Romance, Sports",19,Tatsunoko Production,24 min per ep,6484,8056,13,2183,6443
Wellber no Monogatari: Sisters of Wellber,6.6,"Action, Adventure, Comedy, Drama, Fantasy",13,Trans Arts,24 min per ep,6509,6675,7,3052,10253
Amaenaide yo!!: Yasumanaide yo!!,6.6,"Comedy, Romance, Supernatural, Ecchi",1,Studio Deen,23 min,6465,5683,1,7910,15336
Bomberman B-Daman Bakugaiden,6.6,"Comedy, Sci-Fi",48,Madhouse,24 min per ep,6469,9738,5,1875,3846
Happy☆Lesson (TV),6.6,"Comedy, Drama, Romance",13,Studio Hibari,23 min per ep,6480,4316,36,12618,29822
Devilman Lady,6.6,"Action, Drama, Horror, Suspense",26,TMS Entertainment,24 min per ep,6474,4487,114,7113,27527
Super Robot Taisen OG The Animation,6.6,"Action, Sci-Fi",3,Brain's Base,28 min per ep,6504,9154,6,1926,4637
Umi Monogatari: Anata ga Ite Kureta Koto,6.6,"Drama, Fantasy, Romance",12,Zexcs,24 min per ep,6509,4290,30,7760,30127
Emblem Take 2,6.6,"Action, Drama",2,Toei Animation,51 min per ep,6475,11097,1,970,2538
Peace Maker Kurogane Special,6.6,"Action, Comedy, Drama",1,Gonzo,17 min,6494,10399,4,815,3116
Yeosin Gangnim,6.59,"Comedy, Drama, Romance",13,"Studio N, Cocktail Media",19 min per ep,6525,4796,89,8086,23585
Kageiro Mai,6.59,,1,,3 min,,18841,0,192,353
Blue Planet,6.59,Sci-Fi,1,OTOIRO,3 min,,19626,0,165,304
Unmei Kyoudoutai!,6.59,,1,,3 min,,15107,1,406,784
One Piece: Dai Gekisen Tokushuu! Hangeki Doumei vs. Big Mom,6.59,"Action, Adventure, Comedy, Fantasy",1,Toei Animation,24 min,6566,9664,2,1699,3928
Tanetsuke Ojisan to NTR Hitozuma Sex The Animation,6.59,Hentai,1,Studio 1st,19 min,,9355,17,1825,4332
Yishi Du Zun,6.59,"Action, Adventure, Fantasy",45,Xing Yi Kai Chen,12 min per ep,6526,14460,7,241,940
Fuyu no Okurimono,6.59,Fantasy,1,Wit Studio,12 min,6538,13914,0,498,1093
Kibou no Chikara: Otona Precure '23,6.59,Action,12,"Toei Animation, Studio Deen",25 min per ep,6551,7042,32,2514,9025
Kuromi's Pretty Journey,6.59,"Comedy, Fantasy",21,Qzil.la,2 min per ep,6558,11167,24,754,2485
J* Genkai Koubi: Goui Sounyuu de Bachibachi Niku Anaka,6.59,Hentai,2,New Generation,14 min per ep,,9171,20,1588,4622
Wu Ying Sanqian Dao,6.59,"Action, Adventure, Fantasy",10,Tang Kirin Culture,12 min per ep,6524,12672,9,502,1549
Ling Yu 3rd Season,6.59,Fantasy,12,Haoliners Animation League,14 min per ep,6559,11504,2,772,2250
Ero Semi: Ecchi ni Yaruki ni ABC - The Animation,6.59,Hentai,1,Seven,26 min,,7259,20,3043,8413
Madonna: Kanjuku Body Collection,6.59,Hentai,1,Studio 1st,29 min,,7921,29,2297,6749
Wizard Girl Ambitious,6.59,"Fantasy, Hentai",1,PoRO,28 min,,6195,36,4929,12310
Oppai Life,6.59,Hentai,2,Y.O.U.C,26 min per ep,,6819,34,3746,9801
Boin,6.59,Hentai,2,Shindeban Film,28 min per ep,,5942,47,5479,13730
Sword Art Online: Sword Art Offline - Extra Edition,6.59,Comedy,1,I was a Ballerina,13 min,6519,2811,84,29586,68174
Soukou Kihei Votoms: Pailsen Files Movie,6.59,Sci-Fi,1,The Answer Studio,1 hr 58 min,6515,11455,0,866,2283
Sangokushi: Dai Ichi Bu - Eiyuu-tachi no Yoake,6.59,,1,Toei Animation,2 hr 16 min,6513,14270,2,263,995
Hai to Gensou no Grimgar: Furoagari no Kabe ni Kaketa Seishun - One More Centimeter,6.59,Comedy,1,A-1 Pictures,11 min,6543,3024,44,30541,59514
Hakuouki: Otogisoushi,6.59,Supernatural,12,DLE,3 min per ep,6546,7955,10,2191,6684
Luo Xiao Hei Zhan Ji: Fan Wai,6.59,Comedy,5,HMCH,1 min per ep,6560,13621,1,351,1184
Ninja Slayer From Animation,6.59,Action,26,Trigger,12 min per ep,6565,3579,206,13053,43814
Kidou Senshi Gundam F91,6.59,"Action, Drama, Sci-Fi",1,Sunrise,2 hr,6551,3998,84,19047,35014
Yoku Wakaru Gendai Mahou: Cruncha Cruncha Cruncha,6.59,Comedy,1,Nomad,23 min,6527,8041,2,3294,6476
Hataage! Kemono Michi,6.59,"Comedy, Fantasy",12,ENGI,23 min per ep,6547,1236,278,100180,208561
Fight Ippatsu! Juuden-chan!!,6.59,"Comedy, Sci-Fi, Ecchi",12,Studio Hibari,24 min per ep,6536,3885,64,15171,37337
Uma Musume: Pretty Derby PV,6.59,Sports,1,P.A. Works,1 min,,6739,15,3333,10089
Sounan desu ka?,6.59,"Adventure, Comedy, Suspense",12,Ezόla,12 min per ep,6517,1525,259,78200,165611
Shinkansen Henkei Robo Shinkalion: Mirai kara Kita Shinsoku no ALFA-X,6.59,"Action, Sci-Fi",1,OLM,1 hr 19 min,6514,12629,1,374,1572
Future Card Buddyfight Triple D,6.59,,51,"Xebec, OLM",23 min per ep,6537,8809,10,2553,5183
Pokemon XY&Z: Subete no Nazo wo Tokiakase!,6.59,"Action, Adventure, Fantasy",1,OLM,51 min,6567,8856,1,1945,5106
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara Picture Drama,6.59,"Comedy, Ecchi",1,Sunrise,9 min,6534,6581,15,3040,10600
Ikkitousen: Dragon Destiny Specials,6.59,"Action, Ecchi",6,Arms,3 min per ep,6547,4745,14,10984,24146
Aldnoah.Zero Extra Archives,6.59,"Action, Sci-Fi",1,"A-1 Pictures, TROYCA",48 min,6532,5677,15,4965,15359
Sakugasaku,6.59,,1,Wit Studio,3 min,,14167,0,546,1023
Youjo Shachou,6.59,Comedy,13,Project No.9,3 min per ep,6528,9635,11,1917,3963
Ginga Tetsudou 999: Diamond Ring no Kanata e,6.59,"Adventure, Drama, Sci-Fi",1,Toei Animation,16 min,6541,12097,1,313,1885
