name,score,genres,episodes,studios,duration,rank,popularity,favorites,scored_by,members
Yoru no Kurage wa Oyogenai,7.77,Drama,12,Doga Kobo,23 min per ep,1116,1987,900,44207,117382
Saiyuuki Gaiden,7.77,"Action, Adventure, Drama, Fantasy",3,Anpro,29 min per ep,1112,5856,74,4607,14217
Bishoujo Senshi Sailor Moon Crystal Season III,7.77,Romance,13,Toei Animation,24 min per ep,1101,2899,372,30275,64598
Hoozuki no Reitetsu,7.77,"Comedy, Fantasy",13,Wit Studio,24 min per ep,1104,1774,1328,46175,135530
Kekkai Sensen & Beyond,7.77,"Action, Fantasy",12,Bones,24 min per ep,1107,529,1761,204996,456124
"Ame wo Matsu,",7.77,,1,,5 min,,8174,17,3765,6225
Magic Kaito,7.77,"Adventure, Comedy, Romance",12,TMS Entertainment,24 min per ep,1108,2630,355,33509,75992
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",7.77,"Drama, Romance",1,Kyoto Animation,23 min,1103,961,595,172129,269597
Lupin III: Part II,7.77,"Action, Adventure, Comedy, Mystery",155,Tokyo Movie Shinsha,24 min per ep,1107,3895,392,12883,36935
Yuru Yuri Nachuyachumi!+,7.77,"Comedy, Girls Love",2,TYO Animations,23 min per ep,1116,3079,85,30223,57403
Isekai Ojisan,7.77,"Comedy, Fantasy",13,Atelier Pontdarc,24 min per ep,1105,645,2168,178398,389582
One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,7.77,"Action, Adventure, Drama, Fantasy",1,Toei Animation,1 hr 31 min,1109,2025,492,66660,114554
Seikai no Senki II,7.77,"Action, Romance, Sci-Fi",10,Sunrise,25 min per ep,1112,4689,127,12413,24876
Ranma ½,7.77,"Action, Comedy, Romance, Ecchi",161,Studio Deen,24 min per ep,1111,959,4473,126628,270254
Snow Halation,7.77,,1,Sunrise,6 min,,4822,103,13596,23234
Seitokai Yakuindomo Movie 2,7.77,Comedy,1,GoHands,1 hr 19 min,1113,4028,50,10522,34609
Gochuumon wa Usagi desu ka??,7.77,Slice of Life,12,"Kinema Citrus, White Fox",23 min per ep,1103,1763,866,61948,136517
Beastars 2nd Season,7.77,"Drama, Suspense",12,Orange,22 min per ep,1100,513,2275,244741,467677
Tonikaku Kawaii: Joshikou-hen,7.76,"Comedy, Romance",4,Seven Arcs,23 min per ep,1121,2859,171,31066,66109
Kono Koi ni Kizuite The Animation,7.76,Hentai,1,Seven,29 min,,7615,106,2638,7389
Da Zhu Zai Nian Fan,7.76,"Action, Adventure, Fantasy, Romance",52,Motion Magic,19 min per ep,1127,11186,23,754,2459
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,7.76,"Drama, Romance, Supernatural",1,CloverWorks,1 hr 13 min,1118,1695,597,48397,143908
Mahoutsukai no Yome Season 2,7.76,"Drama, Fantasy, Romance",12,Studio Kafka,24 min per ep,1140,1282,1065,66241,199241
Gyakkou,7.76,,1,,4 min,,10462,9,1854,3071
Undead Unluck,7.76,"Action, Comedy",24,David Production,23 min per ep,1123,856,1740,106085,305760
I'm Your Treasure Box: Anata wa Marine Senchou wo Takarabako kara Mitsuketa.,7.76,Ecchi,1,,4 min,,8574,32,3301,5577
Gochuumon wa Usagi desu ka?? Sing for You,7.76,Slice of Life,1,production doA,25 min,1132,4468,96,12487,27804
Love Live! School Idol Project 2nd Season,7.76,"Award Winning, Slice of Life",13,Sunrise,23 min per ep,1139,982,2752,153593,265162
Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,7.76,Sports,1,Production I.G,1 hr 27 min,1138,3746,30,15305,40204
Kidou Senshi Gundam,7.76,"Action, Drama, Sci-Fi",43,Sunrise,24 min per ep,1137,1725,2366,63511,140673
Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),7.76,"Action, Fantasy, Mystery, Romance, Suspense",1,ufotable,1 hr,1137,1040,471,152045,247897
Aria the Crepuscolo,7.76,"Fantasy, Sci-Fi, Slice of Life",1,J.C.Staff,1 hr,1126,5904,40,4737,13911
Break Blade Movie 3: Kyoujin no Ato,7.76,"Action, Fantasy",1,"Production I.G, Xebec",47 min,1127,3008,28,36385,60045
Zan Sayonara Zetsubou Sensei Bangaichi,7.76,Comedy,2,Shaft,26 min per ep,1124,3675,35,17246,41644
Tianbao Fuyao Lu 2nd Season,7.76,"Action, Adventure, Comedy, Fantasy",13,Sparkly Key Animation Studio,20 min per ep,1120,9213,42,1693,4545
Dragon Ball Kai,7.76,"Action, Adventure, Comedy, Fantasy",97,Toei Animation,23 min per ep,1129,604,3702,253190,410986
Hadashi no Gen,7.76,"Award Winning, Drama",1,Madhouse,1 hr 23 min,1133,3091,180,21726,57019
Tentai Senshi Sunred,7.76,Comedy,26,AIC ASTA,13 min per ep,1118,4861,202,6919,22856
Hibike! Euphonium Movie 3: Chikai no Finale,7.76,Drama,1,Kyoto Animation,1 hr 40 min,1133,2578,194,38708,78665
Akagami no Shirayuki-hime,7.76,"Drama, Romance",12,Bones,24 min per ep,1126,307,8039,345910,705717
Saint Seiya,7.76,"Action, Adventure, Fantasy, Sci-Fi",114,Toei Animation,24 min per ep,1144,1310,4175,105142,195443
Meitantei Conan Movie 24: Hiiro no Dangan,7.76,"Action, Comedy, Drama, Mystery",1,TMS Entertainment,1 hr 50 min,1142,4808,96,10801,23420
Lupin the Third: Mine Fujiko to Iu Onna,7.76,"Action, Adventure, Award Winning, Comedy, Ecchi",13,TMS Entertainment,22 min per ep,1140,2843,501,24868,66597
Hidamari Sketch x SP,7.76,Slice of Life,2,Shaft,24 min per ep,1135,5592,12,7712,15997
Saenai Heroine no Sodatekata ♭,7.76,"Comedy, Romance, Ecchi",11,A-1 Pictures,22 min per ep,1143,655,1749,195963,383412
Edogawa Conan Shissou Jiken: Shijou Saiaku no Futsukakan,7.76,"Adventure, Comedy, Mystery",1,TMS Entertainment,1 hr 31 min,1130,5960,8,6793,13577
Saint Seiya: Meiou Hades Meikai-hen,7.76,"Action, Adventure, Fantasy, Sci-Fi",12,Toei Animation,24 min per ep,1145,3213,173,32448,52665
Texhnolyze,7.76,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense",22,Madhouse,23 min per ep,1120,973,5320,60081,266735
Ginga Tetsudou 999,7.76,"Adventure, Drama, Sci-Fi",113,Toei Animation,24 min per ep,1131,3684,479,7837,41495
"Tadaima, Okaeri",7.75,"Boys Love, Slice of Life",12,Studio Deen,23 min per ep,1162,3784,350,13596,39479
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,7.75,"Action, Comedy, Horror, Suspense",12,BUG FILMS,24 min per ep,1164,382,4118,285469,607459
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,7.75,Comedy,2,HuaMei Animation,16 min per ep,1173,9942,46,1368,3596
Fight Song,7.75,,1,,5 min,,9317,27,2615,4383
Xingchen Bian 5th Season,7.75,"Action, Adventure, Fantasy, Romance",28,Foch Film,25 min per ep,1164,11398,28,854,2323
Tomo-chan wa Onnanoko!,7.75,"Comedy, Romance",13,Lay-duce,23 min per ep,1162,538,3068,233854,448795
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,7.75,Romance,1,Madhouse,26 min,1165,3528,93,20661,44923
Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,7.75,Sports,1,Production I.G,1 hr 27 min,1149,3531,36,17883,44848
Seitokai Yakuindomo OVA,7.75,Comedy,8,GoHands,26 min per ep,1158,1808,122,69932,132723
Kuroko no Basket: Last Game NG-shuu,7.75,"Comedy, Sports",1,Production I.G,2 min,1150,3958,41,16399,35750
Gakuen Babysitters Special,7.75,Slice of Life,1,Brain's Base,27 min,1171,3463,54,23373,46319
Kubikiri Cycle: Aoiro Savant to Zaregotozukai,7.75,"Drama, Mystery, Supernatural",8,Shaft,29 min per ep,1148,2093,889,34745,108982
Liang Bu Yi,7.75,"Comedy, Romance",24,Paper Plane Animation Studio,14 min per ep,1152,6220,123,4377,12173
Date A Live IV,7.75,"Action, Fantasy, Romance, Sci-Fi",12,Geek Toys,23 min per ep,1168,948,3433,96597,271568
Meitantei Conan OVA 10: Kid in Trap Island,7.75,"Adventure, Comedy, Mystery",1,TMS Entertainment,24 min,1155,5225,22,9111,19180
Saraiya Goyou,7.75,Drama,12,Manglobe,22 min per ep,1157,2274,860,28733,96493
Lucky☆Star,7.75,Comedy,24,Kyoto Animation,24 min per ep,1152,333,12738,330889,670771
Lupin III vs. Meitantei Conan,7.75,"Action, Adventure, Comedy, Mystery",1,TMS Entertainment,1 hr 44 min,1153,3876,43,19888,37508
High Score Girl,7.75,"Comedy, Romance",12,J.C.Staff,24 min per ep,1171,964,2930,141162,268688
Sekaiichi Hatsukoi: Valentine-hen,7.75,Boys Love,1,Studio Deen,15 min,1159,3624,63,19380,42797
Gakkou no Kaidan,7.75,"Horror, Mystery, Supernatural",19,Pierrot,24 min per ep,1169,1119,2277,98228,232702
Kidou Senshi Gundam III: Meguriai Sora-hen,7.75,"Action, Adventure, Drama, Sci-Fi",1,Sunrise,2 hr 20 min,1147,3868,163,22422,37701
The Everlasting Guilty Crown,7.75,,1,,1 min,,3917,88,18015,36628
Kumichou Musume to Sewagakari,7.75,Slice of Life,12,"feel., Gaina",23 min per ep,1148,1071,1162,100779,241957
City Hunter '91,7.75,"Action, Comedy, Mystery",13,Sunrise,23 min per ep,1167,4574,72,9610,26479
Shiki Specials,7.75,"Horror, Mystery, Supernatural, Suspense",2,Daume,23 min per ep,1160,2684,88,41480,73562
Princess Connect! Re:Dive Season 2,7.75,"Adventure, Comedy, Fantasy, Gourmet",12,CygamesPictures,23 min per ep,1157,1789,837,49400,134527
Overlord II,7.75,"Action, Adventure, Fantasy",13,Madhouse,23 min per ep,1155,154,4607,665452,1076075
Charlotte,7.75,Drama,13,P.A. Works,24 min per ep,1166,66,23973,1019354,1677595
Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,7.74,"Mystery, Supernatural, Suspense",1,Shaft,12 min,1194,7224,3,4905,8516
Cheng He Titong,7.74,"Comedy, Romance",24,Shengying Animation,25 min per ep,1176,11252,26,513,2428
Oomuro-ke: Dear Friends,7.74,"Comedy, Girls Love",1,"Passione, Studio Lings",43 min,1196,7516,13,1584,7626
Shinkiro,7.74,Slice of Life,1,Studio Kai,5 min,,12926,12,879,1438
Wind Breaker,7.74,Action,13,CloverWorks,23 min per ep,1201,726,2743,169816,348978
Gundam Build Fighters,7.74,"Action, Sci-Fi",25,Sunrise,24 min per ep,1187,2587,674,40331,78062
BanG Dream! Garupa☆Pico,7.74,Comedy,26,"SANZIGEN, DMM.futureworks",3 min per ep,1173,4815,134,12522,23337
Little Witch Academia: Mahoujikake no Parade,7.74,"Adventure, Comedy, Fantasy",1,Trigger,53 min,1191,1445,330,97948,174511
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,7.74,Slice of Life,1,TYO Animations,52 min,1200,6409,11,4093,11303
Free! Movie 4: The Final Stroke - Zenpen,7.74,Sports,1,Kyoto Animation,1 hr 26 min,1182,2971,215,10732,61713
Kidou Senshi Gundam SEED,7.74,"Action, Award Winning, Drama, Romance, Sci-Fi",50,Sunrise,24 min per ep,1189,1415,3652,98984,177907
Bishoujo Senshi Sailor Moon Eternal Movie 2,7.74,Romance,1,"Toei Animation, Studio Deen",1 hr 20 min,1176,4444,111,12109,28079
BanG Dream! Garupa☆Pico: Oomori,7.74,Comedy,26,SANZIGEN,3 min per ep,1175,6116,58,6696,12707
Devilman: Crybaby,7.74,"Action, Avant Garde, Horror, Supernatural",10,Science SARU,24 min per ep,1180,124,25043,727979,1207860
Genshiken 2,7.74,Slice of Life,12,Arms,24 min per ep,1184,2446,217,46200,85700
Colorful (Movie),7.74,"Award Winning, Drama",1,"Sunrise, Ascension",2 hr 7 min,1178,1250,1284,88933,205420
Inazuma Eleven,7.74,Sports,127,OLM,24 min per ep,1189,1146,4454,138393,226763
Ghost Hunt,7.74,"Horror, Mystery, Supernatural",25,J.C.Staff,24 min per ep,1185,1098,3061,102592,236397
InuYasha: Kuroi Tessaiga,7.74,"Action, Adventure, Fantasy, Romance",1,Sunrise,29 min,1189,3815,72,14627,38735
Shokugeki no Souma: Shin no Sara,7.74,"Gourmet, Ecchi",12,J.C.Staff,24 min per ep,1198,355,1377,370976,643070
Maria-sama ga Miteru 4th,7.74,"Drama, Girls Love",13,Studio Deen,24 min per ep,1193,4790,100,10243,23775
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,7.74,"Action, Adventure, Fantasy",11,J.C.Staff,23 min per ep,1180,672,2119,160107,374428
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",7.74,"Comedy, Romance",1,feel.,23 min,1203,1967,561,31637,118553
Golden Time,7.74,"Drama, Romance",24,J.C.Staff,24 min per ep,1186,150,13748,569611,1084214
Bishoujo Senshi Sailor Moon,7.74,Romance,46,Toei Animation,24 min per ep,1176,625,10725,195398,398068
Saiyuuki Reload: Burial,7.74,"Action, Adventure, Drama, Fantasy",3,"Pierrot, Arms",33 min per ep,1197,5931,46,4644,13785
Master Keaton OVA,7.74,"Adventure, Drama, Mystery",15,Madhouse,24 min per ep,1194,6419,19,3511,11260
Taiyou no Ko Esteban,7.74,"Adventure, Sci-Fi",39,Pierrot,27 min per ep,1199,5789,125,6119,14662
Free! Take Your Marks,7.74,Slice of Life,1,"Kyoto Animation, Animation Do",1 hr 48 min,1183,2416,153,33138,87284
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.74,"Action, Fantasy",1,CloverWorks,1 hr 34 min,1182,2519,404,33763,81631
Mairimashita! Iruma-kun,7.74,"Comedy, Fantasy",23,Bandai Namco Pictures,23 min per ep,1192,450,4642,276364,525780
Udon no Kuni no Kiniro Kemari,7.74,"Slice of Life, Supernatural",12,LIDENFILMS,22 min per ep,1201,1735,672,55242,139737
Yi Nian Yong Heng 3rd Season,7.73,"Action, Adventure, Fantasy",59,B.CMAY PICTURES,Unknown,1209,11494,28,330,2257
Dragon Ball Daima,7.73,"Action, Adventure, Comedy, Fantasy",20,Toei Animation,23 min per ep,1214,2217,705,21212,100014
Watashi no Shiawase na Kekkon,7.73,"Drama, Fantasy, Romance",12,Kinema Citrus,23 min per ep,1208,779,3137,166136,331225
Pokemon: The Origin,7.73,"Action, Adventure, Comedy, Fantasy",4,"Production I.G, Xebec, OLM",21 min per ep,1228,1091,687,160729,238905
Hug tto! Precure♡Futari wa Precure Movie: All Stars Memories,7.73,Action,1,Toei Animation,1 hr 13 min,1220,8878,21,2118,5066
Meitantei Conan Movie 19: Gouka no Himawari,7.73,"Action, Mystery",1,TMS Entertainment,1 hr 52 min,1225,3665,55,23911,41821
Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,"Action, Award Winning, Drama, Sci-Fi",3,Sunrise,30 min per ep,1205,3320,182,28465,50024
Aggressive Retsuko (ONA) 2nd Season,7.73,Comedy,10,Fanworks,16 min per ep,1209,1919,247,81405,122189
Dragon Quest: Dai no Daibouken (2020),7.73,"Action, Adventure, Fantasy",100,Toei Animation,24 min per ep,1215,2613,645,25970,76631
Fanren Xiu Xian Chuan,7.73,"Action, Adventure, Fantasy",17,"Original Force, Wonder Cat Animation",18 min per ep,1216,7939,60,2350,6719
Grisaia no Rakuen,7.73,"Drama, Romance, Suspense",10,8bit,23 min per ep,1219,577,2071,227884,424297
Fate/Grand Carnival,7.73,"Comedy, Fantasy",4,Lerche,15 min per ep,1218,3050,244,24140,58569
Higashi no Eden,7.73,"Award Winning, Mystery, Romance, Sci-Fi, Suspense",11,Production I.G,22 min per ep,1220,402,4233,260988,579943
Black Jack,7.73,"Drama, Mystery, Suspense",12,Tezuka Productions,50 min per ep,1212,3632,372,12809,42676
Panty & Stocking with Garterbelt,7.73,"Action, Comedy, Fantasy, Ecchi",13,Gainax,23 min per ep,1227,601,6238,204748,412325
JoJo no Kimyou na Bouken: Phantom Blood,7.73,"Action, Adventure, Horror",1,APPP,1 hr 30 min,1221,2734,620,30260,71862
Ranma ½ OVA,7.73,"Action, Comedy, Romance, Ecchi",6,"Studio Deen, Kitty Film Mitaka Studio",30 min per ep,1229,3953,82,17578,35829
Change!! Getter Robo: Sekai Saigo no Hi,7.73,"Action, Adventure, Horror, Sci-Fi",13,Brain's Base,24 min per ep,1213,5468,389,6864,17005
Bishoujo Senshi Sailor Moon R,7.73,Romance,43,Toei Animation,24 min per ep,1211,1526,877,90116,165566
Tantei Gakuen Q,7.73,"Comedy, Drama, Mystery",45,Pierrot,25 min per ep,1206,3907,265,14882,36720
Ojamajo Doremi Dokkaan!,7.73,Comedy,51,Toei Animation,24 min per ep,1226,5276,304,8410,18692
Toshokan Sensou: Kakumei no Tsubasa,7.73,"Action, Comedy, Romance",1,Production I.G,1 hr 44 min,1206,4682,43,9057,25021
Kokoro Connect,7.73,"Drama, Romance, Supernatural",13,SILVER LINK.,24 min per ep,1223,226,7926,431679,859143
Shaman King,7.73,"Action, Adventure, Supernatural",64,Xebec,23 min per ep,1203,671,3721,199392,374782
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,7.73,"Adventure, Drama, Fantasy",1,A.C.G.T.,29 min,1223,3026,51,26167,59479
Claymore,7.73,"Action, Adventure, Fantasy",26,Madhouse,23 min per ep,1214,315,8604,335360,694754
Xiehou Ta de Shaonu Shidai,7.72,"Drama, Supernatural",18,"Red Dog Culture House, Studio Goindol",17 min per ep,1244,6981,41,1643,9240
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,7.72,"Comedy, Romance",12,Bibury Animation Studios,23 min per ep,1231,954,2636,136051,270711
Yao Shen Ji 7th Season,7.72,"Action, Adventure, Fantasy, Romance",52,Ruo Hong Culture,8 min per ep,1245,11010,13,968,2593
Tonikaku Kawaii: Seifuku,7.72,"Comedy, Romance",1,Seven Arcs,22 min,1241,2196,356,46327,102148
Ani ni Tsukeru Kusuri wa Nai! 2,7.72,Comedy,24,"Fanworks, Imagineer",3 min per ep,1246,3195,93,27272,53405
Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,7.72,Action,1,Actas,37 min,1251,3277,75,28993,51033
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7.72,"Action, Supernatural",1,Kyoto Animation,1 hr 22 min,1235,1470,262,77968,171448
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",7.72,Slice of Life,12,Zero-G,23 min per ep,1250,1259,1290,94164,203590
Hataraku Maou-sama!,7.72,"Comedy, Supernatural",13,White Fox,24 min per ep,1252,74,10682,979538,1609562
Shiki,7.72,"Horror, Mystery, Supernatural, Suspense",22,Daume,22 min per ep,1239,370,8622,266962,620958
Free! Movie 3: Road to the World - Yume,7.72,Sports,1,"Kyoto Animation, Animation Do",1 hr 39 min,1250,4298,42,7969,30058
Kyou kara Maou! 3rd Series,7.72,"Adventure, Comedy, Fantasy",39,Studio Deen,24 min per ep,1233,3930,123,14494,36310
Hidamari Sketch x 365 Specials,7.72,Slice of Life,3,Shaft,24 min per ep,1253,5294,10,9530,18570
Kageki Shoujo!!,7.72,Drama,13,PINE JAM,24 min per ep,1230,2397,511,28047,88092
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,7.72,"Action, Award Winning, Drama, Sci-Fi",1,Xebec,1 hr 51 min,1243,5709,20,6068,15219
Kyoukai no Kanata,7.72,"Action, Supernatural",12,Kyoto Animation,24 min per ep,1234,126,12092,565294,1203957
Memories,7.72,"Award Winning, Drama, Horror, Sci-Fi, Suspense",3,"Madhouse, Studio 4°C",37 min per ep,1236,1688,854,51810,145180
Mujin Wakusei Survive,7.72,"Action, Adventure, Fantasy, Sci-Fi, Slice of Life",52,"Madhouse, Telecom Animation Film",25 min per ep,1238,4198,324,10894,31527
Slayers,7.72,"Action, Adventure, Comedy, Fantasy",26,E&G Films,22 min per ep,1241,1659,2010,64076,148049
Bishoujo Senshi Sailor Moon R: The Movie,7.72,"Drama, Romance",1,Toei Animation,1 hr,1247,2772,265,38341,69724
Ghost (Music),7.72,,1,,4 min,,10551,20,1819,2984
Doraemon (2005),7.72,"Comedy, Sci-Fi",,Shin-Ei Animation,25 min,1249,4997,239,9580,21390
Tomodachi Game,7.72,Suspense,12,Okuruto Noboru,22 min per ep,1241,554,4269,228676,441081
Isekai no Seikishi Monogatari,7.72,"Action, Comedy, Fantasy, Ecchi",13,"AIC Spirits, BeSTACK",45 min per ep,1255,1238,1854,85674,208251
Migi to Dali,7.72,"Comedy, Mystery, Suspense",13,"Geek Toys, CompTown",23 min per ep,1237,2357,589,34968,90576
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,7.72,"Action, Mystery, Sci-Fi",1,Production I.G,1 hr 48 min,1232,5503,18,4580,16696
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,7.71,"Action, Mystery, Sci-Fi, Suspense",1,Production I.G,1 hr 7 min,1270,2169,116,42956,103427
Noragami OVA,7.71,"Comedy, Supernatural",2,Bones,24 min per ep,1269,776,384,188782,332163
Jinrui wa Suitai Shimashita,7.71,"Adventure, Comedy, Fantasy, Sci-Fi",12,AIC ASTA,23 min per ep,1266,1309,1960,62882,195561
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",7.71,"Drama, Romance",1,Bones,24 min,1255,2499,176,40789,82846
Berserk: Ougon Jidai-hen I - Haou no Tamago,7.71,"Action, Adventure, Drama, Fantasy, Horror",1,Studio 4°C,1 hr 16 min,1259,1095,1041,152608,237581
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",7.71,"Action, Adventure, Fantasy",12,A-1 Pictures,23 min per ep,1265,403,1914,351478,577294
Tegamibachi Reverse,7.71,"Adventure, Fantasy",25,Pierrot Plus,20 min per ep,1273,2870,213,27685,65535
Arakawa Under the Bridge x Bridge,7.71,"Comedy, Romance",13,Shaft,23 min per ep,1256,1500,430,88489,168861
Chi's Sweet Home: Atarashii Ouchi,7.71,"Comedy, Slice of Life",104,Madhouse,3 min per ep,1260,4206,111,12755,31337
Rozen Maiden: Ouvertüre,7.71,"Action, Comedy, Drama, Fantasy",2,Nomad,24 min per ep,1271,2953,212,35183,62358
Yamato Nadeshiko Shichihenge♥,7.71,Comedy,25,Nippon Animation,24 min per ep,1280,1521,2387,83762,166010
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,7.71,,1,SANZIGEN,1 hr 17 min,1259,6293,64,5005,11811
Tsuki ga Michibiku Isekai Douchuu,7.71,"Action, Adventure, Comedy, Fantasy",12,C2C,23 min per ep,1275,477,4457,266385,500918
Enen no Shouboutai,7.71,"Action, Fantasy, Sci-Fi",24,David Production,23 min per ep,1263,97,9949,765051,1419619
Tenshi no Tamago,7.71,"Avant Garde, Drama, Fantasy",1,Studio Deen,1 hr 11 min,1274,1531,3692,63999,164313
Death Note: Rewrite,7.71,"Supernatural, Suspense",2,Madhouse,1 hr 52 min per ep,1261,1205,758,96193,214924
BanG Dream! Garupa☆Pico Fever!,7.71,Comedy,26,"SANZIGEN, W-Toon Studio, DMM.futureworks",3 min per ep,1258,7814,32,3440,6950
Ushiro no Shoumen Daare,7.71,Drama,1,Mushi Production,1 hr 30 min,1278,5848,31,4175,14260
Neko no Ongaeshi,7.71,"Adventure, Award Winning, Drama, Fantasy",1,Studio Ghibli,1 hr 15 min,1268,895,1637,181419,290287
Ueki no Housoku,7.71,"Action, Adventure, Supernatural",51,Studio Deen,23 min per ep,1276,1928,909,49995,121462
Macross Plus,7.71,"Action, Drama, Romance, Sci-Fi",4,Triangle Staff,39 min per ep,1268,3259,466,23490,51406
Sidonia no Kishi: Daikyuu Wakusei Seneki,7.71,"Action, Sci-Fi",12,Polygon Pictures,24 min per ep,1272,1923,349,65095,121934
Final Fantasy VII: Advent Children,7.71,"Action, Fantasy",1,Square Enix Visual Works,1 hr 41 min,1264,1196,1097,146460,216754
Dragon Ball Kai (2014),7.71,"Action, Adventure, Comedy, Fantasy",61,Toei Animation,23 min per ep,1262,1263,864,116952,203175
Xingchen Bian: Po Tian Mi Ju,7.71,"Action, Adventure, Fantasy, Romance",16,Foch Film,25 min per ep,1279,10634,22,1280,2909
Urusei Yatsura,7.71,"Comedy, Romance, Sci-Fi",195,"Pierrot, Studio Deen",25 min per ep,1277,2307,1304,20316,94215
Kui Cheng Shoufu Cong Youxi Kaishi,7.7,"Comedy, Fantasy",16,Foch Film,19 min per ep,1300,8526,33,1592,5634
Monsters: Ippyaku Sanjou Hiryuu Jigoku,7.7,Fantasy,1,E&H Production,25 min,1306,3490,161,28201,45737
Kimi no Iro,7.7,Drama,1,Science SARU,1 hr 41 min,1298,4217,124,3491,31189
Hibike! Euphonium: Ensemble Contest-hen,7.7,Drama,1,Kyoto Animation,57 min,1296,4275,59,15869,30361
BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,7.7,,2,SANZIGEN,23 min per ep,1287,9077,22,2227,4746
Mankitsu Happening,7.7,Hentai,4,Collaboration Works,29 min per ep,,3062,916,28412,58314
Hakumei to Mikochi,7.7,"Fantasy, Slice of Life",12,Lerche,23 min per ep,1295,2804,429,19950,68486
Kuroko no Basket 2nd Season NG-shuu,7.7,"Comedy, Sports",9,Production I.G,2 min per ep,1301,2822,123,30613,67418
Meitantei Conan Movie 16: 11-ninme no Striker,7.7,"Adventure, Comedy, Mystery, Sports",1,TMS Entertainment,1 hr 50 min,1305,3475,29,26635,46013
Joshikousei no Mudazukai,7.7,Comedy,12,Passione,24 min per ep,1297,1839,729,50772,129123
Haikyuu!! Lev Genzan!,7.7,Sports,1,Production I.G,24 min,1294,1737,200,76568,139597
Tetsuwan Birdy Decode:02,7.7,"Action, Comedy, Sci-Fi",12,A-1 Pictures,23 min per ep,1282,3175,258,24684,53951
Luo Xiao Hei Zhan Ji,7.7,"Comedy, Supernatural",28,HMCH,7 min per ep,1303,8144,64,1692,6282
Chuunibyou demo Koi ga Shitai!,7.7,"Comedy, Romance",12,Kyoto Animation,24 min per ep,1290,101,18332,802563,1403936
Wu Dong Qian Kun 2nd Season,7.7,"Action, Adventure, Fantasy, Romance",12,Motion Magic,25 min per ep,1285,8595,30,2490,5537
Break Blade Movie 2: Ketsubetsu no Michi,7.7,"Action, Fantasy",1,"Production I.G, Xebec",51 min,1289,2930,25,38570,63078
Gekkan Shoujo Nozaki-kun Specials,7.7,"Comedy, Romance",6,Doga Kobo,3 min per ep,1293,1716,109,75750,141601
One Punch Man: Road to Hero,7.7,"Action, Comedy",1,Madhouse,24 min,1309,772,369,190575,333696
Macross Plus Movie Edition,7.7,"Action, Adventure, Romance, Sci-Fi",1,Triangle Staff,1 hr 54 min,1304,5291,94,8962,18605
Doupo Cangqiong 2nd Season Specials,7.7,"Action, Adventure, Fantasy",3,Motion Magic,28 min per ep,1292,9189,13,2328,4584
Bakuten!! Movie,7.7,Sports,1,Zexcs,1 hr 30 min,1286,5065,121,4006,20771
Daicon Opening Animations,7.7,"Action, Adventure, Sci-Fi",2,Gainax,5 min per ep,1291,4917,197,12305,22103
School Rumble: Ichi Gakki Hoshuu,7.7,"Comedy, Romance",2,Studio Comet,25 min per ep,1281,2988,104,34399,61163
Keroro Gunsou,7.7,"Comedy, Sci-Fi",358,Sunrise,23 min per ep,1298,2548,1280,35902,80279
One Punch Man Specials,7.7,"Action, Comedy",6,Madhouse,12 min per ep,1307,771,475,186358,333746
Watashi no Ashinaga Ojisan,7.7,"Comedy, Romance",40,Nippon Animation,23 min per ep,1284,5342,163,7080,18055
